odprecid,programyear,reporttype,ceid,cename,typeofagency,typeoforg,esc,tdaregion,cestatus,ceapplicationcycle,siteid,sitename,sitestatus,siteapplicationcycle,countydistrictcode,cecounty,sitecounty,cestreetaddressline1,cestreetaddresscity,cestreetaddressstate,cestreetaddresszipcode,cemailingaddressline1,cemailingaddresscity,cemailingaddressstate,cemailingaddresszipcode,sitestreetaddressline1,sitestreetaddresscity,sitestreetaddressstate,sitestreetaddresszipcode,superintendentsalutation,superintendentfirstname,superintendentlastname,superintendenttitleposition,superintendentemail,superintendentphone,childnutdirsalutation,childnutdirfirstname,childnutdirlastname,childnutdirtitleposition,childnutdiremail,childnutdirphone,seamlesssummercontactsalutation,seamlesssummercontactfirstname,seamlesssummercontactlastname,seamlesssummercontacttitleposition,seamlesssummercontactemail,seamlesssummercontactphone,sitetype,sitestartdate,siteenddate,daysofoperation,mealservicetype,mealtypesserved,lunchtime,lunchdaysserved,geolocation,:@computed_region_ptpy_sh92,:@computed_region_59h5_km5p,:@computed_region_de3d_j5mj,:@computed_region_ji3u_dqif,:@computed_region_rk7b_wvzt,breakfasttime,breakfastdaysserved,cestreetaddressline2,cemailingaddressline2,siteterminationstatus,siteterminatedasofdate,sitestreetaddressline2,amsnacktime,amsnackdaysserved,suppertime,supperdaysserved,pmsnacktime,pmsnackdaysserved,ceterminationstatus,ceterminatedasofdate
00622-0002,2022-2023,SSOCONTACTS,00622,GREENVILLE ISD,Educational Institution,Public,10,2,Active,RENEWAL,0002,GREENVILLE H S,Active,RENEWAL,116-905,HUNT,HUNT,4004 MOULTON ST.,GREENVILLE,TX,75401-5103,P O BOX 1022,GREENVILLE,TX,75403-1022,3515 LION'S LAIR,GREENVILLE,TX,75402,,Sharon,Boothe,SUPERINTENDENT,riosj@greenvilleisd.com,9034572500,Mrs.,Sharee,Osten,Director of Child Nutrition,ostens@greenvilleisd.com,9034572500,Ms.,Anika,Whetstone,Secretary,whetstonea@greenvilleisd.com,9034084415,Open,2023-06-05T00:00:00.000,2023-07-07T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.12119396, 33.10395301]}",2,230,16,3,8,7:00 AM - 8:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00080-0105,2022-2023,SSOCONTACTS,00080,EDGEWOOD ISD-SAN ANTONIO,Educational Institution,Public,20,4,Active,RENEWAL,0105,GIRL SCOUTS OF SOUTH TEXAS,Active,RENEWAL,015-905,BEXAR,BEXAR,5358 W COMMERCE ST,SAN ANTONIO,TX,78237-1354,5358 W COMMERCE ST,SAN ANTONIO,TX,78237-1354,5622 Cesar Chavez Way,SAN ANTONIO,TX,78237,Mr.,Elvis,Williams,Assistant Superintendent of Operations,elvis.williams@eisd.net,2108982000,Ms.,Roxanne,Ruiz,Child Nutrition Director,Roxanne.Ruiz@eisd.net,2108984037,Ms.,Maria,Saenz,Child Nutrition Coordinator,msaenz@eisd.net,2108984037,Open,2023-06-12T00:00:00.000,2023-08-04T00:00:00.000,"S,M,T,W,TH,F,SA",Congregate,"Breakfast, Lunch",11:30 AM - 12:30 PM,"S, M, T, W, TH, F, S","{'type': 'Point', 'coordinates': [-98.564271973, 29.427339979]}",124,44,16,20,26,7:30 AM - 8:30 AM,"S, M, T, W, TH, F, S",,,,,,,,,,,,,
01000-1056,2022-2023,SSOCONTACTS,01000,RIO GRANDE CITY ISD,Educational Institution,Public,1,5,Active,RENEWAL,1056,Learning Zone II,Active,RENEWAL,214-901,STARR,STARR,1 South Fort Ringgold,RIO GRANDE CITY,TX,78582-4799,1 South Fort Ringgold,RIO GRANDE CITY,TX,78582-4799,FM 3167 (by Subway & Las Alitas ),Rio Grande City,TX,78582,Mr.,Adolfo,PeÃ±a,Superintendent of Schools,apena042@rgccisd.org,9567166702,Mrs.,Patsy,Ramirez,"Director, Child Nutrition Program",paramirez@rgccisd.org,9563704657,Mrs.,Emiliana,Guerra,Assistant Program Director,eguerra@rgccisd.org,9563704657,Open,2023-06-05T00:00:00.000,2023-07-06T00:00:00.000,"M,T,W,TH",Congregate,Lunch,11:00 AM - 11:30 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-98.878103357, 26.508892]}",31,113,16,28,21,,,,,,,,,,,,,,,
01145-0001,2022-2023,SSOCONTACTS,01145,RAYMONDVILLE ISD,Educational Institution,Public,1,5,Active,RENEWAL,0001,RAYMONDVILLE H S,Active,RENEWAL,245-903,WILLACY,WILLACY,420 FM 3168,RAYMONDVILLE,TX,78580-3351,420 FM 3168,RAYMONDVILLE,TX,78580-3351,601 FM 3168,RAYMONDVILLE,TX,78580-3351,Mr.,Stetson,Roane,SUPERINTENDENT,sroane@raymondvilleisd.org,9566898176,Ms.,Maria,Garcia,Child Nutrition Director,garciam@raymondvilleisd.org,9566898184,Ms.,Maria G.,Garcia,Child Nutrition Director,Garciam@Raymondvilleisd.org,9566898184,Open,2023-06-12T00:00:00.000,2023-07-07T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.775769996, 26.468303984]}",37,196,16,34,27,7:30 AM - 8:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00234-0107,2022-2023,SSOCONTACTS,00234,COPPERAS COVE ISD,Educational Institution,Public,12,2,Active,RENEWAL,0107,J L WILLIAMS/LOVETT LEDGER EL,Active,RENEWAL,050-910,CORYELL,CORYELL,408 S. Main St.,COPPERAS COVE,TX,76522-1239,408 S. Main St.,COPPERAS COVE,TX,76522-1239,905 COURTNEY LN,COPPERAS COVE,TX,76522-0580,Dr.,Joseph,Burns,SUPERINTENDENT,burnsj@ccisd.com,2545471227,Ms.,Melissa,Bryan,Director of Child Nutrition & Warehouse Services,murraym@ccisd.com,2545471227,Mrs.,MELISSA,BRYAN,Director of Child Nutrition and Warehouse Services,murraym@ccisd.com,2545471227,Open,2023-06-05T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.910075997, 31.140110018]}",59,130,16,31,24,7:30 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01028-0126,2022-2023,SSOCONTACTS,01028,HURST-EULESS-BEDFORD ISD,Educational Institution,Public,11,2,Active,RENEWAL,0126,Arbor Creek Elementary,Active,RENEWAL,220-916,TARRANT,TARRANT,1849A CENTRAL DR,BEDFORD,TX,76022-6096,1350 W. Euless Blvd,Euless,TX,76040-4971,701 International Drive,Euless,TX,76039,Dr.,Joseph,Harrington,SUPERINTENDENT,josephharrington@hebisd.edu,8172834461,Mrs.,Mariella,Naugher,Director Child Nutrition Services,mariellanaugher@hebisd.edu,8173992121,,Mariella,Naugher,Child Nutrition Director,mariellanaugher@hebisd.edu,8173992121,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.076592034, 32.845002996]}",92,190,16,24,22,7:00 AM - 8:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00141-1003,2022-2023,SSOCONTACTS,00141,MARBLE FALLS ISD,Educational Institution,Public,13,4,Active,RENEWAL,1003,Boys and Girls Club of Highland Lakes,Active,RENEWAL,027-904,BURNET,BURNET,1800 COLT CIR,MARBLE FALLS,TX,78654-4803,1800 COLT CIR,MARBLE FALLS,TX,78654-4803,1701 Broadway,Marble Falls,TX,78654,Dr.,Jeffrey,Gasaway,INTERIM SUPERINTENDENT,jgasaway@mfisd.txed.net,8306934357,Ms.,Maria,Manzo,Food Service Director,mmanzo@mfisd.txed.net,8307983513,Mrs.,Maria,Manzo,Director Food Services,mmanzo@mfisd.txed.net,5125873099,Open,2023-06-01T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Lunch, PM Snack",12:00 PM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.283314015, 30.581602981]}",19,84,16,31,24,,,,,,,,,,,,3:00 PM - 3:30 PM,"M, T, W, TH, F",,
00090-0125,2022-2023,SSOCONTACTS,00090,NORTHSIDE ISD-SAN ANTONIO,Educational Institution,Public,20,4,Active,RENEWAL,0125,MURRAY E BOONE EL,Active,RENEWAL,015-915,BEXAR,BEXAR,5900 EVERS RD,SAN ANTONIO,TX,78238-1699,5900 EVERS RD,SAN ANTONIO,TX,78238-1699,6614 SPRINGTIME DR,SAN ANTONIO,TX,78249-2799,Dr.,BRIAN,WOODS,SUPERINTENDENT,info@nisd.net,2103978770,Mr.,Thomas,Wherry,Director,thomas.wherry@nisd.net,2103974512,Mr.,THOMAS,WHERRY,DIRECTOR,THOMAS.WHERRY@NISD.NET,2103974512,Open,2023-06-06T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-98.618274982, 29.551256988]}",116,44,16,20,26,7:15 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00315-1202,2022-2023,SSOCONTACTS,00315,CARRIZO SPRINGS CONS ISD,Educational Institution,Public,20,4,Active,RENEWAL,1202,Big Wells Multi Purpose Center,Active,NEWAPP,064-903,DIMMIT,DIMMIT,300 N 7th Street,CARRIZO SPRINGS,TX,78834-3102,300 N 7th Street,CARRIZO SPRINGS,TX,78834-3102,171 Commerce,Big Wells,TX,78830,Dr.,Jose A,Cervantes,SUPERINTENDENT,jcervantes@cscisd.net,8308762473,Ms.,yolanda,samaniego,Food Service Secretary,ysamaniego@cscisd.net,8308763503,Mrs.,Yolanda,Guevara Samaniego,Student Nutrition Secretary,ysamaniego@cscisd.net,8308763503,Open Restricted,2023-06-05T00:00:00.000,2023-07-14T00:00:00.000,"M,T,W,TH",Congregate,Lunch,12:00 PM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-99.569095227, 28.575045443]}",80,8,16,23,21,,,,,,,,,,,,,,,
01000-1040,2022-2023,SSOCONTACTS,01000,RIO GRANDE CITY ISD,Educational Institution,Public,1,5,Active,RENEWAL,1040,Hillside Grocery,Active,RENEWAL,214-901,STARR,STARR,1 South Fort Ringgold,RIO GRANDE CITY,TX,78582-4799,1 South Fort Ringgold,RIO GRANDE CITY,TX,78582-4799,6924 US Highway-83,Rio Grande City,TX,78582,Mr.,Adolfo,PeÃ±a,Superintendent of Schools,apena042@rgccisd.org,9567166702,Mrs.,Patsy,Ramirez,"Director, Child Nutrition Program",paramirez@rgccisd.org,9563704657,Mrs.,Emiliana,Guerra,Assistant Program Director,eguerra@rgccisd.org,9563704657,Open,2023-06-05T00:00:00.000,2023-07-06T00:00:00.000,"M,T,W,TH",Congregate,Lunch,11:00 AM - 11:30 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-98.663714034, 26.315783018]}",31,113,16,28,21,,,,,,,South ! Fort Ringgold Campus,,,,,,,,
01122-1291,2022-2023,SSOCONTACTS,01122,LAREDO ISD,Educational Institution,Public,1,5,Active,RENEWAL,1291,BARTLETT POOL,Active,NEWAPP,240-901,WEBB,WEBB,1702 HOUSTON STREET,LAREDO,TX,78040-4906,1702 HOUSTON STREET,LAREDO,TX,78040-4906,6002 Thomas Ave.,Laredo,TX,78041,Dr.,Sylvia G.,Rios,Superintendent of Schools,sgrios@laredoisd.org,9562731400,Mr.,Roberto,Cuellar,Child Nutrition Program Director,robcuellar@laredoisd.org,9562731600,Mr.,Jose,Renteria,Supervisor,jrenteria@ci.laredo.tx.us,9567941765,Open,2023-06-06T00:00:00.000,2023-07-21T00:00:00.000,"T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"T, W, TH, F","{'type': 'Point', 'coordinates': [-99.471044438, 27.544108185]}",42,220,16,28,21,8:30 AM - 9:30 AM,"T, W, TH, F",,,,,,,,,,,,,
00746-0041,2022-2023,SSOCONTACTS,00746,GEORGE WEST ISD,Educational Institution,Public,2,5,Active,RENEWAL,0041,GEORGE WEST J H,Active,RENEWAL,149-901,LIVE OAK,LIVE OAK,913 HOUSTON ST,GEORGE WEST,TX,78022-3416,913 HOUSTON ST,GEORGE WEST,TX,78022-3416,900 HOUSTON ST,GEORGE WEST,TX,78022-3416,Dr.,Roland,Quesada,SUPERINTENDENT,rquesada@gwisd.us,3614491914,Mrs.,Sharon,Clifton,Child Nutrition Director,sclifton@gwisd.us,3614491914,Mrs.,Sharon,Clifton,Food Service Director,sclifton@gwisd.us,3614491914,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 12:30 PM,"M, T, TH","{'type': 'Point', 'coordinates': [-98.120336038, 28.33161401]}",31,201,16,15,21,7:30 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00622-0102,2022-2023,SSOCONTACTS,00622,GREENVILLE ISD,Educational Institution,Public,10,2,Active,RENEWAL,0102,BOWIE EL,Active,RENEWAL,116-905,HUNT,HUNT,4004 MOULTON ST.,GREENVILLE,TX,75401-5103,P O BOX 1022,GREENVILLE,TX,75403-1022,6005 Stonewall St.,GREENVILLE,TX,75402,,Sharon,Boothe,SUPERINTENDENT,riosj@greenvilleisd.com,9034572500,Mrs.,Sharee,Osten,Director of Child Nutrition,ostens@greenvilleisd.com,9034572500,Ms.,Anika,Whetstone,Secretary,whetstonea@greenvilleisd.com,9034084415,Open,2023-05-30T00:00:00.000,2023-07-07T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 12:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-96.106484978, 33.109084998]}",2,230,16,3,8,7:00 AM - 8:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00950-0001,2022-2023,SSOCONTACTS,00950,HENDERSON ISD,Educational Institution,Public,7,2,Active,RENEWAL,0001,HENDERSON H S,Active,RENEWAL,201-902,RUSK,RUSK,300 Crosby Drive,HENDERSON,TX,75652-5116,P O Box 728,HENDERSON,TX,75653-0728,1900 HWY 64 W,HENDERSON,TX,75652,Dr.,Thurston,Lamb,SUPERINTENDENT,tlamb@hendersonisd.org,9036555045,Mrs.,Tanya,Davis,Director of Child Nutrition Services,tadavis@hendersonisd.org,9036555014,Mrs.,Tanya,Davis,Director of Child Nutrition,tadavis@hendersonisd.org,9036555014,Closed,2023-07-03T00:00:00.000,2023-07-28T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",10:25 AM - 11:00 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-94.81902004, 32.171720002]}",11,118,16,1,1,7:30 AM - 8:00 AM,"M, T, W, TH",,,,,,,,,,,,,
01020-0114,2022-2023,SSOCONTACTS,01020,FORT WORTH ISD,Educational Institution,Public,11,2,Active,RENEWAL,0114,MANUEL JARA EL,Active,RENEWAL,220-905,TARRANT,TARRANT,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,100 N UNIVERSITY DR,FORT WORTH,TX,76107-3010,2100 LINCOLN AVE,FORT WORTH,TX,76164-8036,Ms.,Angelica,Ramsey,SUPERINTENDENT,karen.molinar@fwisd.org,8178141900,Ms.,Angela,Lowe,Assistant Director,angela.lowe@fwisd.org,8178143512,,Angela,Lowe,Assistant Director,angela.lowe@fwisd.org,8178143500,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:20 AM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-97.358325989, 32.783549983]}",90,190,16,33,9,8:00 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00918-0131,2022-2023,SSOCONTACTS,00918,AMARILLO ISD,Educational Institution,Public,16,1,Active,RENEWAL,0131,WESTERN PLATEAU EL,Active,RENEWAL,188-901,POTTER,POTTER,7200 I-40 W,AMARILLO,TX,79106-2598,7200 I-40 W,AMARILLO,TX,79106-2598,4927 SHAWNEE,AMARILLO,TX,79109-6119,Mr.,Doug,Loomis,SUPERINTENDENT,doug.loomis@amaisd.org,8063261000,Mr.,Shane,Newman,"EXEC DIRECTOR, FINANCE & BUDGT â€¢Chief Financial Officer",Shane.newman@amaisd.org,8063261199,,Tyler,Barfield,Computer Specialist/TDA Reporting,tyler.barfield@amaisd.org,8063261269,Closed,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-101.891888036, 35.154229014]}",86,33,16,13,31,7:30 AM - 8:30 AM,"M, T, W, TH, F",,,,,,,,,,,,,
01123-0004,2022-2023,SSOCONTACTS,01123,UNITED ISD,Educational Institution,Public,1,5,Active,RENEWAL,0004,S.T.E.P. ACADEMY,Active,RENEWAL,240-903,WEBB,WEBB,201 Lindenwood Dr.,Laredo,TX,78045-2499,201 Lindenwood Dr.,Laredo,TX,78045-2499,1600 Espejo-Molina Rd,LAREDO,TX,78041,Mr.,David,Gonzalez,Superintendent,dhgonzalez@uisd.net,9564736219,Mr.,Raul,"Ramirez, Jr.",Child Nutrition Department Director,rramirez@uisd.net,9564736556,Mrs.,Aryana,Valdez,Operations Manager,amontemayor@uisd.net,9564736556,Open,2023-05-31T00:00:00.000,2023-06-28T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:00 AM - 1:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-99.480165969, 27.362214009]}",80,220,16,28,21,8:15 AM - 9:25 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00013-0105,2022-2023,SSOCONTACTS,00013,DIBOLL ISD,Educational Institution,Public,7,3,Active,RENEWAL,0105,Diboll Family Literacy/Even Start,Active,RENEWAL,003-905,ANGELINA,ANGELINA,215 N TEMPLE BLVD,DIBOLL,TX,75941-0550,PO Box 550,DIBOLL,TX,75941-0550,299 S Neil Pickett Dr,Diboll,TX,75941,Ms.,VICKI,THOMAS,SUPERINTENDENT,vthomas@dibollisd.org,9368294718,Mrs.,KERRI,SANFORD,Child Nutrition Supervisor,ksanford@dibollisd.org,9368296262,Mrs.,Kerri,Sanford,Child Nutrition Supervisor,ksanford@dibollisd.org,9368296262,Open,2023-06-05T00:00:00.000,2023-06-22T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:45 AM - 12:15 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-94.792102622, 31.179316653]}",9,148,16,17,3,8:00 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00751-0066,2022-2023,SSOCONTACTS,00751,LUBBOCK ISD,Educational Institution,Public,17,1,Active,RENEWAL,0066,IRONS M S,Active,RENEWAL,152-901,LUBBOCK,LUBBOCK,1628 19TH ST,LUBBOCK,TX,79401-4895,1628 19TH ST,LUBBOCK,TX,79401-4895,5214 79TH ST,LUBBOCK,TX,79424,Dr.,Kathy,Rollo,SUPERINTENDENT,superintendent@lubbockisd.org,8062190070,Mr.,Steven,Martinez,Procurement Services Director,steven.martinez@lubbockisd.org,8062190260,,Steven,Martinez,Procurement Service Director,steven.martinez@lubbockisd.org,8062190260,Open,2023-06-05T00:00:00.000,2023-07-27T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:30 AM - 1:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-101.925288998, 33.523265009]}",84,38,16,19,28,7:45 AM - 8:45 AM,"M, T, W, TH",,,,,,,,,,,,,
00868-0104,2022-2023,SSOCONTACTS,00868,CALALLEN ISD,Educational Institution,Public,2,5,Active,RENEWAL,0104,CALALLEN EAST ELEMENTARY,Active,RENEWAL,178-903,NUECES,NUECES,4205 WILDCAT DR,CORPUS CHRISTI,TX,78410-5108,4205 WILDCAT DR,CORPUS CHRISTI,TX,78410-5108,3709 Lott Ave,Corpus Christi,TX,78410-6006,Mrs.,EMILY,LORENZ,SUPERINTENDENT,elorenz@calallen.org,3612425600,Ms.,Leticia H,Garcia,Food Service Director,lgarcia@calallen.org,3612425906,Ms.,Leticia,Garcia,Food Service Director,lgarcia@calallen.org,3612425906,Open Restricted,2023-06-05T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 12:30 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-97.606526966, 27.843606993]}",34,104,16,27,20,7:30 AM - 8:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00957-0104,2022-2023,SSOCONTACTS,00957,WEST RUSK ISD,Educational Institution,Public,7,2,Active,RENEWAL,0104,WEST RUSK INTERMEDIATE,Active,RENEWAL,201-914,RUSK,RUSK,10705 S MAIN,NEW LONDON,TX,75682-0168,P O BOX 168,NEW LONDON,TX,75682-0168,705 S MAIN HWY 42,NEW LONDON,TX,75682-0168,Mr.,Lawrence,Coleman,SUPERINTENDENT,colemanl@westruskisd.org,9033927850,Mr.,Steve,Alexander,Food Service Director,alexanders@westruskisd.org,9033927850,Mr.,Steve,Alexander,Food Serv. Dir.,alexanders@westruskisd.org,9033927850,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",10:45 AM - 12:45 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-94.936260756, 32.25586606]}",11,118,16,1,1,7:00 AM - 9:00 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00527-0004,2022-2023,SSOCONTACTS,00527,PASADENA ISD,Educational Institution,Public,4,3,Active,RENEWAL,0004,DOBIE H S,Active,RENEWAL,101-917,HARRIS,HARRIS,1515 CHERRYBROOK,PASADENA,TX,77502-4099,1515 CHERRYBROOK,PASADENA,TX,77502-4099,10220 Blackhawk Blvd.,Houston,TX,77089,Dr.,Deeann,Powell,SUPERINTENDENT,dsmith@pasadenaisd.org,7137400000,Mrs.,Mary,Harryman,Director,mharryman@pasadenaisd.org,7137400097,Ms.,Mary,Harryman,Director,mharryman@pasadenaisd.org,7137400146,Open,2023-06-05T00:00:00.000,2023-06-20T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 1:20 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-95.250023033, 29.591277013]}",131,121,16,29,6,7:40 AM - 8:25 AM,"M, T, W, TH, F",,,,,,,,,,,,,
00112-0041,2022-2023,SSOCONTACTS,00112,ALVIN ISD,Educational Institution,Public,4,3,Active,RENEWAL,0041,ALVIN J H,Active,RENEWAL,020-901,BRAZORIA,BRAZORIA,301 E HOUSE ST,ALVIN,TX,77511-3581,301 E HOUSE ST,ALVIN,TX,77511-3581,2300 West South Street,ALVIN,TX,77511-3825,Mrs.,Carol,Nelson,SUPERINTENDENt,cnelson@alvinisd.net,2813881130,Ms.,Jennifer,Basich,Child Nutrition Director,jbasich@alvinisd.net,2812452277,Mrs.,Jennifer,Basich,CN Director,jbasich@alvinisd.net,2812452277,Open,2023-06-05T00:00:00.000,2023-06-29T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:30 AM - 12:00 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-95.266558014, 29.405292012]}",29,143,16,14,11,8:00 AM - 8:30 AM,"M, T, W, TH",,,,,,,,,,,,,
00281-0045,2022-2023,SSOCONTACTS,00281,IRVING ISD,Educational Institution,Public,10,2,Active,RENEWAL,0045,AUSTIN MIDDLE,Active,RENEWAL,057-912,DALLAS,DALLAS,2621 W AIRPORT FREEWAY,IRVING,TX,75062-6020,P O BOX 152637,IRVING,TX,75015-2637,825 E UNION BOWER RD,IRVING,TX,75061-4999,Ms.,Magda,Hernandez,SUPERINTENDENT,mhernandez@irvingisd.net,9726005000,Ms.,Olga,Rosenberger,Executive Director of Federal Programs and Community Engagement,orosenberger@irvingisd.net,9726006900,,LeeAnn,Lachance,Food Service Supervisor,llachance@irvingisd.net,9726006911,Open,2023-08-01T00:00:00.000,2023-08-03T00:00:00.000,"T,W,TH",Congregate,Lunch,12:00 PM - 12:30 PM,"T, W, TH","{'type': 'Point', 'coordinates': [-96.936521966, 32.823154015]}",105,46,16,33,16,,,,,,,,,,,,,,,
00753-0042,2022-2023,SSOCONTACTS,00753,SLATON ISD,Educational Institution,Public,17,1,Active,RENEWAL,0042,SLATON J H,Active,RENEWAL,152-903,LUBBOCK,LUBBOCK,140 E PANHANDLE,SLATON,TX,79364-4238,140 E PANHANDLE,SLATON,TX,79364-4238,300 W. Jean Street,SLATON,TX,79364-5345,Mr.,Jim,Andrus,SUPERINTENDENT,jandrus@slatonisd.net,8068286591,Ms.,Paula,Garcia,Child Nutrition Director,pgarcia@slatonisd.net,8068282060,Mrs.,Paula,Garcia,Child Nutrition Director,pgarcia@slatonisd.net,8068282060,Open,2023-06-01T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH",Congregate,Lunch,12:00 PM - 12:30 PM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-101.64425993, 33.430116193]}",83,38,16,19,28,,,,,,,,,,,,,,,
00916-0102,2022-2023,SSOCONTACTS,00916,LIVINGSTON ISD,Educational Institution,Public,6,3,Active,RENEWAL,0102,TIMBER CREEK ELEMENTARY,Active,RENEWAL,187-907,POLK,POLK,1412 SOUTH HOUSTON,LIVINGSTON,TX,77351-1297,P O BOX 1297,LIVINGSTON,TX,77351-1297,701 N WILLIS,LIVINGSTON,TX,77351-2699,Mr.,Craig,Davis,Chief Financial Officer,cqdaivs@livingstonisd.com,9363282100,Mr.,Craig,Davis,Chief Financial Officer,cqdavis@livingstonisd.com,9363282299,,Marissa,Flores,Food Secretary,mlflores@livingstonisd.com,9363282299,Open Restricted,2023-05-30T00:00:00.000,2023-06-22T00:00:00.000,"M,T,W,TH",Congregate,"Breakfast, Lunch",11:00 AM - 11:50 AM,"M, T, W, TH","{'type': 'Point', 'coordinates': [-94.942872969, 30.71362902]}",9,228,16,8,3,7:30 AM - 8:15 AM,"M, T, W, TH",,,,,,,,,,,,,
01008-0001,2022-2023,SSOCONTACTS,01008,TULIA ISD,Educational Institution,Public,16,1,Active,RENEWAL,0001,TULIA H S,Active,RENEWAL,219-903,SWISHER,SWISHER,702 NW 8TH ST,TULIA,TX,79088-1199,702 NW 8TH ST,TULIA,TX,79088-1199,501 HORNET PL,TULIA,TX,79088-2411,Dr.,Ricardo,Garcia,Superintendent,rgarcia@tuliaisd.org,8069954591,Mrs.,Michelle,McDowell,Food Service Director,mmcdowell@tuliaisd.org,8069958500,Mrs.,Michelle,McDowell,Food service Director,mmcdowel@tuliaisd.org,8069958500,Open,2023-05-29T00:00:00.000,2023-06-30T00:00:00.000,"M,T,W,TH,F",Congregate,"Breakfast, Lunch",11:30 AM - 1:00 PM,"M, T, W, TH, F","{'type': 'Point', 'coordinates': [-101.758722708, 34.539857729]}",88,79,16,19,31,7:45 AM - 8:15 AM,"M, T, W, TH, F",,,,,,,,,,,,,
